word_id,word
0,a
1,aah
2,about
3,after
4,again
5,ah
6,ahhah
7,air
8,alfie
9,all
10,alright
11,and
12,andy
13,animal
14,another
15,any
16,anything
17,arm
18,around
19,as
20,ask
21,asleep
22,at
23,away
24,awww
25,b
26,baby
27,back
28,bag
29,ball
30,balloon
31,bang
32,barbeque
33,be
34,bear
35,beautiful
36,because
37,bed
38,beep
39,before
40,big
41,biscuit
42,bit
43,bite
44,blow
45,blue
46,boo
47,book
48,both
49,bow
50,box
51,boy
52,bread
53,break
54,brick
55,brilliant
56,brown
57,bus
58,but
59,button
60,buy
61,by
62,bye
63,c
64,cake
65,call
66,can
67,car
68,care
69,carry
70,chair
71,cheek
72,chester
73,chicken
74,child
75,childsname
76,chip
77,choo
78,chop
79,clean
80,clever
81,climb
82,close
83,clothes
84,cm
85,cold
86,color
87,come
88,compute
89,cook
90,could
91,crane
92,crawl
93,cry
94,cut
95,cute
96,cwww
97,dad
98,dada
99,dadda
100,daddy
101,darling
102,day
103,dear
104,dig
105,do
106,dog
107,door
108,down
109,dress
110,drink
111,drive
112,dry
113,duck
114,eat
115,eleanor
116,else
117,end
118,engine
119,enjoy
120,enough
121,everywhere
122,excellent
123,excuse
124,eye
125,face
126,fall
127,far
128,farm
129,fast
130,feel
131,few
132,field
133,find
134,finger
135,finish
136,fire
137,first
138,fish
139,fit
140,floor
141,fly
142,food
143,foot
144,for
145,fork
146,four
147,friend
148,from
149,frosty
150,fun
151,gail
152,garage
153,genmod
154,get
155,girl
156,give
157,glass
158,go
159,good
160,gorgeous
161,got
162,granddad
163,green
164,grow
165,hair
166,half
167,hand
168,happen
169,happy
170,hard
171,hat
172,have
173,he
174,head
175,heart
176,helen
177,hello
178,help
179,her
180,here
181,hey
182,hide
183,high
184,him
185,his
186,hm
187,hold
188,home
189,hooray
190,horse
191,hot
192,house
193,how
194,huh
195,hurt
196,i
197,idea
198,if
199,in
200,incy
201,into
202,it
203,jam
204,juice
205,jump
206,just
207,jwww
208,keep
209,kiss
210,knee
211,knife
212,know
213,lady
214,lamb
215,lara
216,last
217,leave
218,leg
219,let
220,lid
221,lie
222,lift
223,like
224,line
225,lion
226,little
227,long
228,look
229,loose
230,lorry
231,lot
232,loud
233,love
234,lwww
235,make
236,mama
237,man
238,many
239,mat
240,match
241,matter
242,maybe
243,me
244,mean
245,mend
246,mess
247,might
248,mine
249,minute
250,mirror
251,mix
252,mm
253,money
254,monster
255,more
256,morning
257,mouse
258,mouth
259,move
260,much
261,mum
262,mummy
263,my
264,name
265,naughty
266,need
267,never
268,new
269,next
270,nice
271,night
272,no
273,noise
274,nose
275,not
276,now
277,number
278,nursery
279,of
280,off
281,oh
282,okay
283,old
284,on
285,one
286,only
287,ooh
288,oops
289,open
290,or
291,other
292,our
293,out
294,over
295,ow
296,paint
297,pardon
298,park
299,party
300,pick
301,picnic
302,picture
303,pie
304,piece
305,pink
306,play
307,please
308,po
309,police
310,poor
311,pop
312,porridge
313,press
314,pretend
315,pull
316,push
317,put
318,quack
319,quick
320,quite
321,rain
322,ready
323,real
324,reckon
325,red
326,remember
327,rest
328,rid
329,right
330,rock
331,room
332,round
333,row
334,run
335,same
336,sand
337,say
338,scare
339,school
340,seat
341,see
342,shall
343,share
344,she
345,sheep
346,shoe
347,shop
348,should
349,show
350,shut
351,silly
352,sing
353,sister
354,sit
355,sky
356,sleep
357,slow
358,small
359,so
360,some
361,something
362,sorry
363,sound
364,soup
365,speckle
366,spider
367,spoon
368,stand
369,start
370,steady
371,step
372,stick
373,sticker
374,still
375,stop
376,sue
377,sun
378,sure
379,table
380,tail
381,take
382,talk
383,tart
384,taste
385,tea
386,tell
387,ten
388,than
389,thank
390,that
391,the
392,them
393,then
394,there
395,these
396,they
397,thing
398,think
399,this
400,thomas
401,those
402,though
403,three
404,throw
405,tie
406,time
407,tip
408,tire
409,to
410,toast
411,today
412,tomorrow
413,too
414,top
415,touch
416,toy
417,tractor
418,train
419,tree
420,truck
421,try
422,turn
423,two
424,up
425,us
426,use
427,very
428,vroom
429,wait
430,wake
431,walk
432,wall
433,want
434,wash
435,watch
436,water
437,way
438,we
439,wee
440,well
441,what
442,whee
443,when
444,where
445,which
446,while
447,who
448,why
449,will
450,wincy
451,with
452,word
453,work
454,wow
455,x
456,yay
457,yeah
458,yellow
459,yes
460,yesterday
461,yet
462,you
463,your
464,yourself
465,zero
466,<unk>
