subset,n,mean,p5,p10,p25,p50,p75,p90,p95,p99
noise,10119,0.1890948490223617,0.1065381980087717,0.11175271862528113,0.12627009124794444,0.1494588476944361,0.21154486661835586,0.34073093648344455,0.405362434205286,0.5273066680026689
ec-knn,13161,0.0832044041100099,0.0220572964954452,0.0297808947519732,0.0506459378905333,0.0814310329694629,0.1100727282744951,0.142513440123403,0.1587548469504894,0.18135832824122833
