clan,n_codas,n_noise,noise_rate
EC1,5731,2717,0.4740882917466411
PALI,2124,1005,0.4731638418079096
FP,2590,1172,0.4525096525096525
REG,8289,2575,0.31065267221619014
,682,202,0.2961876832844575
RI,1776,513,0.28885135135135137
SH,5428,1380,0.2542372881355932
PO,2083,465,0.2232357177148344
SI,1265,90,0.07114624505928854
