unified_index,length,source,clan,dswp_nn_dist,pred_codatype,pred_centroid_dist,runner_up_dist,margin
8905,3,sharma2025_birth,EC1,0.014032964761587484,3D,0.04070908307312225,0.12879220037351993,0.08808311730039768
8972,3,sharma2025_birth,EC1,0.014446903519093595,3-NOISE,0.045762713750062745,0.13005706503886355,0.0842943512888008
9060,3,sharma2025_birth,EC1,0.01730018668252353,3-NOISE,0.037317830553223165,0.20655346015594667,0.1692356296027235
9090,3,sharma2025_birth,EC1,0.012249489785286309,3D,0.03620275811562314,0.1414616391146726,0.10525888099904947
9188,3,sharma2025_birth,EC1,0.02013082213919263,3D,0.045525464458870776,0.14294069254683578,0.097415228087965
9283,3,sharma2025_birth,EC1,0.032679417440356524,3-NOISE,0.09604259214418016,0.12607846400034692,0.030035871856166754
9284,3,sharma2025_birth,EC1,0.025484316044196365,3-NOISE,0.09028969520941812,0.12136388064689106,0.031074185437472937
9350,3,sharma2025_birth,EC1,0.011526564969668234,3D,0.051106250901867566,0.13353912649841884,0.08243287559655127
9360,3,sharma2025_birth,EC1,0.02130315000181543,3-NOISE,0.0684396420168064,0.21465627047185043,0.14621662845504402
9416,3,sharma2025_birth,EC1,0.024680504451897834,3D,0.04985517715917641,0.13332515971901404,0.08346998255983763
9463,3,sharma2025_birth,EC1,0.002302172886646348,3R,0.03395298898556128,0.11416930142971796,0.08021631244415667
9878,3,sharma2025_birth,EC1,0.004173260116501133,3D,0.00706185008953902,0.14954384990715364,0.1424819998176146
10107,3,sharma2025_birth,EC1,0.04962479722880989,3D,0.07810702502608595,0.1290210530532082,0.05091402802712226
10135,3,sharma2025_birth,EC1,0.03235135236741315,3R,0.06771763882268804,0.1839062507876747,0.11618861196498666
10422,3,sharma2025_birth,EC1,0.019599707066443536,3-NOISE,0.12741070648463793,0.29273483807470224,0.16532413159006432
10461,3,sharma2025_birth,EC1,0.0023025032660227546,3-NOISE,0.03897971766931841,0.1398648574374549,0.10088513976813648
10561,3,sharma2025_birth,EC1,0.1841788261447014,3-NOISE,0.28912878706153655,0.4621601324813504,0.17303134541981385
10608,3,sharma2025_birth,EC1,0.02011714691500342,3D,0.05099777359555116,0.1118338071796345,0.060836033584083335
10625,3,sharma2025_birth,EC1,0.014587136567889921,3-NOISE,0.03371056954158976,0.19566429946403963,0.16195372992244986
10674,3,sharma2025_birth,EC1,0.022161376311048725,3D,0.0436000077932589,0.1405938063568606,0.09699379856360171
10676,3,sharma2025_birth,EC1,0.003666946958990496,3D,0.019358858781198474,0.1399684396430168,0.12060958086181833
10927,3,sharma2025_birth,EC1,0.0009570236569354608,3R,0.012857992552581297,0.15450638309938544,0.14164839054680414
