clan,n_codas,top_5_codatypes,top_5_coverage,within_clan_variance,nn_dist_p50,nn_dist_p90
REG,8108,5-NOISE;1+1+3;5R2;8R;5R3,0.6424518993586581,0.13258073782178065,0.028999999999999998,0.054663114786649425
EC1-birth,5551,1+1+3;5-NOISE;4R2;6-NOISE;4R1,0.8888488560619708,0.14268956478596256,0.01219779488268367,0.037128331500355584
SH,5153,3D;3-NOISE;4R2;5-NOISE;4R1,0.6794100523966622,0.1826919241911244,0.029997503027196552,0.14745800927172917
FP,2564,6R;5-NOISE;3-NOISE;4R2;6-NOISE,0.6700468018720749,0.2958633701973055,0.17249844127784283,0.36033598366011366
PALI,2059,7i;1+31;4R2;5-NOISE;9i,0.6007770762506071,0.14083289743321944,0.051279413454913846,0.11446196556192612
PO,1986,5R3;6R;4R2;8R;8i,0.6858006042296072,0.1750401579481067,0.09011775886645804,0.1465869248173387
RI,1750,4R1;5-NOISE;4-NOISE;6i;7i,0.5702857142857143,0.18994696886232848,0.03869330350245635,0.1019938040385294
SI,1209,3-NOISE;4R2;3D;6R;5R3,0.8312655086848635,0.1682776137488913,0.05643929694849148,0.15431973737773708
(NaN),600,3D;5-NOISE;3-NOISE;6-NOISE;7i,0.43,0.241410777181131,0.0374183542787099,0.15285226527342594
