cluster_label,n_clicks,n_members,cluster_mean_dist_to_centroid,nearest_sharma_type,sharma_mean_dist_to_centroid,variance_ratio,flag_collapse
P3c1,3,15,0.06091239584798612,3D,0.0344414542861893,1.768577927686736,False
P3c10,3,185,0.11729504240047883,3D,0.0344414542861893,3.405635587447103,True
P3c11,3,56,0.18334859730805458,3D,0.0344414542861893,5.323485930197078,True
P3c12,3,12,0.0011832031804214476,3D,0.0344414542861893,0.034354042387109686,False
P3c13,3,24,0.0024556613407305124,3D,0.0344414542861893,0.07129958335456264,False
P3c14,3,28,0.01967340730846667,3D,0.0344414542861893,0.5712130255880491,False
P3c15,3,70,0.05527261249402715,3D,0.0344414542861893,1.604828066629897,False
P3c16,3,30,0.007421442640941371,3D,0.0344414542861893,0.21547994400217008,False
P3c17,3,21,0.012992357473817707,3D,0.0344414542861893,0.3772302227965885,False
P3c18,3,17,0.009800281017489839,3D,0.0344414542861893,0.28454898960000247,False
P3c19,3,30,0.01297150941317702,3D,0.0344414542861893,0.37662490397156295,False
P3c2,3,17,0.021729599515205946,3D,0.0344414542861893,0.6309141110780364,False
P3c20,3,48,0.011668609517120268,3D,0.0344414542861893,0.33879549394635383,False
P3c21,3,17,0.018299643292508952,3D,0.0344414542861893,0.5313260915305467,False
P3c22,3,13,0.00637969993354273,3D,0.0344414542861893,0.1852331751304976,False
P3c23,3,31,0.015337609739273153,3D,0.0344414542861893,0.44532410309466497,False
P3c24,3,12,0.015063753958811621,3D,0.0344414542861893,0.4373727611395331,False
P3c25,3,24,0.03176636516316764,3R,0.0148417668180192,2.140335820705692,True
P3c26,3,12,0.03806947368868437,3D,0.0344414542861893,1.1053387401225354,False
P3c3,3,17,0.23512065743641958,3D,0.0344414542861893,6.826676233898194,True
P3c4,3,102,0.03804273144860729,3D,0.0344414542861893,1.1045622851025219,False
P3c5,3,80,0.02740382304808,3D,0.0344414542861893,0.7956639351047576,False
P3c6,3,99,0.011721298430413701,3D,0.0344414542861893,0.3403253048787151,False
P3c7,3,34,0.002652027422722456,3D,0.0344414542861893,0.07700102907053766,False
P3c8,3,18,0.008522160493081094,3D,0.0344414542861893,0.24743904314453996,False
P3c9,3,32,0.0022281630954909303,3D,0.0344414542861893,0.06469422217122821,False
P4c10,4,93,0.03427127142885139,4R1,0.0445166566733875,0.7698527694991771,False
P4c11,4,16,0.13464879167108684,4R2,0.0849840608078653,1.58440053806684,False
P4c12,4,36,0.0418746018755181,4R2,0.0849840608078653,0.4927347725850562,False
P4c13,4,16,0.05115677670919724,4R2,0.0849840608078653,0.6019573108521388,False
P4c14,4,12,0.025719089143422084,4R2,0.0849840608078653,0.30263426928455006,False
P4c15,4,14,0.031019419334936137,4R2,0.0849840608078653,0.36500279040637795,False
P4c16,4,12,0.1107242558079332,4R2,0.0849840608078653,1.302882620051096,False
P4c17,4,15,0.025478834273706674,4R2,0.0849840608078653,0.29980721127588905,False
P4c19,4,46,0.02794301242056037,4R2,0.0849840608078653,0.32880297969915595,False
P4c2,4,10,0.23869875131122323,4R2,0.0849840608078653,2.8087472996951868,True
P4c20,4,15,0.07457084644687377,4R2,0.0849840608078653,0.8774686186797538,False
P4c21,4,109,0.02668117057225868,4R2,0.0849840608078653,0.313954997191536,False
P4c22,4,22,0.02767712991042546,4R2,0.0849840608078653,0.325674363490335,False
P4c23,4,13,0.01769636054115747,4R2,0.0849840608078653,0.2082315245110018,False
P4c24,4,56,0.06956753632406602,4R2,0.0849840608078653,0.8185951066912012,False
P4c25,4,28,0.035365295183360325,4R2,0.0849840608078653,0.4161403308711656,False
P4c26,4,58,0.020490835589719848,4R2,0.0849840608078653,0.24111386764685425,False
P4c27,4,11,0.03902827286063884,4R2,0.0849840608078653,0.459242268369303,False
P4c28,4,22,0.1303774593599538,4R2,0.0849840608078653,1.5341401448762886,False
P4c3,4,10,0.52498776071327,4R2,0.0849840608078653,6.177484998041918,True
P4c4,4,29,0.1907605131806345,4R2,0.0849840608078653,2.244662250394365,True
P4c6,4,13,0.08285330393605572,4R2,0.0849840608078653,0.9749275705167012,False
P4c7,4,16,0.03555038207322048,4R1,0.0445166566733875,0.7985860738385785,False
P4c8,4,25,0.024441745098439837,4R1,0.0445166566733875,0.5490471864894417,False
P5c1,5,32,0.023698751874204005,5R1,0.0173394404842135,1.3667541288763192,False
